авторизована конвертація документу,autorizovaná konverze dokumentu
агентство з працевлаштування,pracovní agentura
адаптаційно-інтеграційний курс,adaptačně‐integrační kurz
адміністративне провадження,správní řízení
адміністративний збір,správní poplatek
адміністративний орган,správní orgán
адреса для кореспонденції,doručovací adresa
"адреса зареєстрованого місця проживання в Чеській
Республіці",adresa hlášeného pobytu na území ČR
адреса постійного місця проживання,adresa trvalého bydliště
анулювати візу,zneplatnit vízum
альтернативна дата,náhradní temín
апостиль,apostila
афідевіт (власноручне засвідчення),čestné prohlášení
безперервне перебування,nepřetržitý pobyt
паспорт громадянина України,občanský průkaz
борг,dluh
моє бронювання,moje rezervace
валідація даних (перевірка дійсності даних),validace údajů
вебсайт,webové stránky
ви зобов'язані / маєте обов'язок,máte povinnost
видалення облікового запису,zrušení uživatelského účtu
визначений строк,doba určitá
витяг з кадастру нерухомості,výpis z katastru nemovitostí
витяг про несудимості (раніше - довідка про несудимість),výpis z rejstříku trestů
"виплати в рамках страхування 
по тимчасовій непрацездатності",dávky nemocenského pojištění
виплати з пенсійного страхування,dávky důchodového pojištění
випробувальний строк / період,zkušební doba
витрати на житло,náklady na bydlení
"витрати на житло, що підлягають врахуванню (розрахункові
витрати)",započitatelné náklady na bydlení
виявлення інтересу,vyjádření zájmu
відділення за місцем проживання,spádové pracoviště
відкликання заяви,zpětvzetí žádosti
відмова,odmítnutí
відмова від тимчасового захисту,vzdání se dočasné ochrany
відсутність заборгованості,bezdlužnost
відтермінування обов’язкового відвідування школи,odklad (povinné) školní docházky
віза з метою толерантності,vízum za účelem strpění
візова наклейка,vízový štítek
вільний доступ до ринку праці,volný přístup na trh práce
власник нерухомості,majitel nemovitosti
возз'єднання сім'ї,sloučení rodiny
вразлива особа,zranitelná osoba
геріатричний пансіонат (будинок престарілих),domov pro seniory
графік роботи,úřední hodiny
громадянство,státní příslušnost / občanství
гуманітарна допомога,humanitární dávky
дата відправлення,den odeslání
дата народження,datum narození
дати згоду на обробку та зберігання персональних даних,dát souhlas se zpracováním a uložením osobních údajů
"Департамент з питань надання притулку та міграційної
політики (OAMP)",odbor azylové a migrační politiky
депортація,deportace
Державна міграційна служба,Státní migrační služba
державне гуманітарне житло,státní humanitární ubytování
державне медичне страхування,veřejné zdravotní pojištění
державні установи,úřady
деталі бронювання,detail rezervace
дитина на утриманні,nezaopatřené dítě
дитяча група,dětská skupina
дитячий будинок,dětský domov
дитячі ясла,dětské jesle
дійсна адреса електронної пошти,platná e-mailová adresa
добровільне повернення,dobrovolný návrat
довгострокове перебування,dlouhodobý pobyt
довідка про дійсний дозвіл на перебування,potvrzení o pobytu
довідка про історію попередніх дозволів на перебування,potvrzení o historii pobytu
довідка про перетин державного кордону,hraniční průvodka
довіреність,plná moc
договір оренди,nájemní smlouva
дозвіл на перебування,pobytové oprávnění
дозвіл на постійне проживання,trvalý pobyt
дозвіл на тимчасове перебування,přechodný pobyt
документ про наявність житла,doklad o ubytování
"документ, що посвідчує особу",průkaz totožnosti
домашнє насильство,domácí násilí
економічна незалежність,ekonomická nezávislost
електронна ідентифікація / е-ідентифікація,elektronická identifikace / e-identita
електронна скринька даних,datová schránka
електронна реєстратура,elektronická podatelna
"електронний підпис (визнаний / гарантований /
кваліфікований)",elektronický podpis (uznávaný / zaručený / kvalifikovaný)
житловий кооператив,bytové družstvo
завірений переклад,úředně ověřený překlad
законний представник,zákonný zástupce
законопроєкт,návrh zákona
закордонний паспорт,cestovní pas
запис (на візит) через Iнформаційний портал для іноземців,objednávání prostřednictvím Informačního portálu pro cizince
записатися / запис,objednat se / objednání
зареєстроване місце проживання,hlášený pobyt
